char,"[32, 16, 8, 4, 2]","[32, 16, 8, 4]","[32, 16, 8]","[32, 16]",[32]
age,0.07285887903787369,0.08329707728294267,0.08889439146794587,0.08866515027710165,0.08298039465451268
aliq_at,0.04236772635695729,0.045247351123535395,0.047742039272549164,0.051581931728215125,0.049509101028455405
aliq_mat,0.04408724469267611,0.0591817285758367,0.059931410349015835,0.06432303126916139,0.07659422758351297
ami_126d,0.21631256896461792,0.21221947289605225,0.20564473500371605,0.2349029598702188,0.2660132194404028
at_be,0.12346713721628078,0.12728812295443248,0.13296421535035563,0.14216856029873526,0.16704945874874255
at_gr1,0.013364061196085686,0.035093237169071756,0.039310970154296854,0.04151336773640679,0.04166872367156316
at_me,0.14256160710252175,0.25219196270532507,0.27631572700203577,0.3064555839060077,0.3481426628821467
at_turnover,0.07698701308455469,0.15085658440585092,0.14933043723225126,0.14673011121301727,0.15899481018249872
be_gr1a,0.02396191668650971,0.029221306726356033,0.03290799894898555,0.03461707783144874,0.036103340317758637
be_me,0.08878742413720886,0.11946490727552828,0.1350508235815724,0.14050912241374647,0.15143773931473703
beta_60m,0.10415321016664336,0.09504374784911107,0.09562010290486,0.09699630885112498,0.10290131775398237
beta_dimson_21d,0.02387271893775278,0.029482314645640884,0.029546610194472578,0.028967066123165353,0.02839817907739217
betabab_1260d,0.04098965468769933,0.0551860000031823,0.054993007920124626,0.05996609272985154,0.048427236230565995
betadown_252d,0.027553815575835472,0.040627895019383686,0.04489556987099519,0.04609390479138398,0.03892778455857382
bev_mev,0.049010735043800935,0.04817504878008805,0.05517126078796508,0.060105252288053634,0.0879453133667667
bidaskhl_21d,0.1755638465646996,0.15018538237461598,0.15332785938770854,0.15591069379117073,0.15128604083407993
capex_abn,0.017046262661324363,0.022740176748897056,0.02280493968993369,0.024361491065754137,0.023159981756911918
capx_gr1,0.015677265062855383,0.022265115026904425,0.020826203603832028,0.02412710021427955,0.021240935897701263
capx_gr2,0.0149502379369153,0.0233405317664932,0.02536970323426857,0.02422276492324471,0.02188048205417914
capx_gr3,0.016004590878331726,0.02757966502786502,0.02665587975494077,0.028039740075634256,0.025593877853729907
cash_at,0.009746347569866032,0.024825177114102814,0.027149789866292906,0.028690206039136967,0.03360531716356974
