model_name,sorting,group,Pred,Real,Std,SR
NN4,univariate,5,0.66,0.57,4.33,0.46
NN4,univariate,6,0.84,0.74,4.43,0.58
NN4,univariate,7,1.03,0.67,4.28,0.54
NN4,univariate,8,1.24,1.03,4.55,0.78
NN4,univariate,9,1.55,1.02,5.19,0.68
NN4,univariate,High(H),2.21,1.00,6.33,0.55
NN4,univariate,H-L,3.47,1.19,6.67,0.62
NN4,independent,Low(L),-1.26,-0.30,8.41,-0.12
NN4,independent,2,-0.27,0.31,7.19,0.15
NN4,independent,3,0.18,0.50,6.87,0.25
NN4,independent,4,0.45,0.57,6.87,0.29
NN4,independent,5,0.66,0.54,6.90,0.27
NN4,independent,6,0.84,0.87,6.72,0.45
NN4,independent,7,1.03,1.04,6.87,0.53
NN4,independent,8,1.25,1.05,6.81,0.54
NN4,independent,9,1.55,1.24,6.69,0.64
NN4,independent,High(H),2.22,1.10,6.74,0.57
NN4,independent,H-L,3.48,1.41,4.93,0.99
NN4,dependent,Low(L),-1.00,0.03,7.31,0.02
NN4,dependent,2,-0.27,0.11,7.03,0.06
NN4,dependent,3,0.10,0.22,6.86,0.11
NN4,dependent,4,0.37,0.51,6.76,0.26
NN4,dependent,5,0.59,0.66,6.95,0.33
NN4,dependent,6,0.80,0.77,6.94,0.39
NN4,dependent,7,1.02,0.95,6.76,0.48
NN4,dependent,8,1.26,0.98,6.74,0.50
NN4,dependent,9,1.56,1.16,6.52,0.62
NN4,dependent,High(H),2.17,1.15,6.67,0.60
NN4,dependent,H-L,3.17,1.12,3.69,1.05
NN5,univariate,Low(L),-0.86,-0.07,9.57,-0.02
NN5,univariate,2,-0.09,0.26,7.53,0.12
NN5,univariate,3,0.24,0.25,5.69,0.16
NN5,univariate,4,0.46,0.57,4.89,0.40
NN5,univariate,5,0.62,0.59,4.54,0.45
NN5,univariate,6,0.77,0.61,4.37,0.49
NN5,univariate,7,0.92,0.80,4.19,0.66
NN5,univariate,8,1.10,0.78,4.38,0.61
NN5,univariate,9,1.32,0.93,5.05,0.64
NN5,univariate,High(H),1.75,1.10,5.92,0.64
NN5,univariate,H-L,2.61,1.17,6.69,0.60
NN5,independent,Low(L),-0.86,-0.09,8.55,-0.04
NN5,independent,2,-0.10,0.28,7.15,0.13
NN5,independent,3,0.24,0.38,6.80,0.20
NN5,independent,4,0.45,0.58,6.63,0.30
NN5,independent,5,0.62,0.64,7.00,0.32
NN5,independent,6,0.77,0.85,6.84,0.43
NN5,independent,7,0.92,0.85,6.75,0.43
NN5,independent,8,1.10,0.89,6.87,0.45
NN5,independent,9,1.32,1.05,6.84,0.53
NN5,independent,High(H),1.77,1.33,6.84,0.67
NN5,independent,H-L,2.63,1.42,5.02,0.98
NN5,dependent,Low(L),-0.69,-0.18,7.23,-0.09
NN5,dependent,2,-0.11,0.30,6.92,0.15
NN5,dependent,3,0.19,0.29,7.00,0.14
NN5,dependent,4,0.40,0.51,6.77,0.26
NN5,dependent,5,0.58,0.67,6.71,0.35
NN5,dependent,6,0.74,0.76,6.97,0.38
NN5,dependent,7,0.91,0.95,6.60,0.50
NN5,dependent,8,1.09,0.82,6.75,0.42
NN5,dependent,9,1.32,1.10,6.76,0.56
NN5,dependent,High(H),1.73,1.25,6.80,0.63
NN5,dependent,H-L,2.42,1.42,3.76,1.31
