model_name,sorting,group,Pred,Real,Std,SR
NN4,univariate,4,0.46,0.41,4.57,0.31
NN4,univariate,5,0.66,0.57,4.33,0.46
NN4,univariate,6,0.84,0.74,4.43,0.58
NN4,univariate,7,1.03,0.67,4.28,0.54
NN4,univariate,8,1.24,1.03,4.55,0.78
NN4,univariate,9,1.55,1.02,5.19,0.68
NN4,univariate,High(H),2.21,1.00,6.33,0.55
NN4,univariate,H-L,3.47,1.19,6.67,0.62
NN4,independent,Low(L),-1.26,0.41,8.37,0.17
NN4,independent,2,-0.27,0.28,7.17,0.13
NN4,independent,3,0.18,-0.01,6.86,-0.00
NN4,independent,4,0.45,-0.18,6.70,-0.09
NN4,independent,5,0.66,-0.38,6.81,-0.19
NN4,independent,6,0.84,-0.05,6.59,-0.03
NN4,independent,7,1.03,-0.13,6.59,-0.07
NN4,independent,8,1.25,0.14,6.51,0.07
NN4,independent,9,1.55,0.44,6.51,0.23
NN4,independent,High(H),2.23,0.94,6.82,0.48
NN4,independent,H-L,3.49,0.53,4.84,0.38
NN4,dependent,Low(L),-0.99,0.47,7.38,0.22
NN4,dependent,2,-0.27,0.11,6.86,0.06
NN4,dependent,3,0.10,-0.13,6.80,-0.06
NN4,dependent,4,0.37,-0.25,6.59,-0.13
NN4,dependent,5,0.59,-0.12,6.79,-0.06
NN4,dependent,6,0.80,0.01,6.74,0.01
NN4,dependent,7,1.01,-0.04,6.50,-0.02
NN4,dependent,8,1.25,0.15,6.50,0.08
NN4,dependent,9,1.56,0.40,6.50,0.21
NN4,dependent,High(H),2.18,0.87,6.57,0.46
NN4,dependent,H-L,3.17,0.40,3.81,0.36
NN5,univariate,Low(L),-0.86,-0.07,9.57,-0.02
NN5,univariate,2,-0.09,0.26,7.53,0.12
NN5,univariate,3,0.24,0.25,5.69,0.16
NN5,univariate,4,0.46,0.57,4.89,0.40
NN5,univariate,5,0.62,0.59,4.54,0.45
NN5,univariate,6,0.77,0.61,4.37,0.49
NN5,univariate,7,0.92,0.80,4.19,0.66
NN5,univariate,8,1.10,0.78,4.38,0.61
NN5,univariate,9,1.32,0.93,5.05,0.64
NN5,univariate,High(H),1.75,1.10,5.92,0.64
NN5,univariate,H-L,2.61,1.17,6.69,0.60
NN5,independent,Low(L),-0.86,0.34,8.26,0.14
NN5,independent,2,-0.10,0.18,7.11,0.09
NN5,independent,3,0.24,-0.10,6.80,-0.05
NN5,independent,4,0.45,-0.14,6.57,-0.07
NN5,independent,5,0.62,-0.19,6.86,-0.10
NN5,independent,6,0.77,-0.20,6.65,-0.10
NN5,independent,7,0.92,-0.11,6.58,-0.06
NN5,independent,8,1.10,-0.04,6.61,-0.02
NN5,independent,9,1.32,0.14,6.63,0.07
NN5,independent,High(H),1.77,0.90,6.84,0.46
NN5,independent,H-L,2.63,0.55,4.88,0.39
NN5,dependent,Low(L),-0.68,0.31,7.03,0.15
NN5,dependent,2,-0.10,0.12,7.02,0.06
NN5,dependent,3,0.19,-0.05,6.68,-0.02
NN5,dependent,4,0.40,-0.06,6.82,-0.03
NN5,dependent,5,0.58,-0.14,6.62,-0.07
NN5,dependent,6,0.74,-0.00,6.70,-0.00
NN5,dependent,7,0.91,0.02,6.61,0.01
NN5,dependent,8,1.09,-0.04,6.52,-0.02
NN5,dependent,9,1.32,0.27,6.70,0.14
NN5,dependent,High(H),1.73,0.74,6.55,0.39
NN5,dependent,H-L,2.42,0.43,3.58,0.41
